"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"31-Dec-2018","FUTBLN","GOLD","05-02-2019","   31583.00","   31585.00","   31314.00","   31385.00","   31791.00","              134","              41","            12.88"
"28-Dec-2018","FUTBLN","GOLD","05-02-2019","   31644.00","   31710.00","   31625.00","   31636.00","   31767.00","              136","              17","             5.38"
"27-Dec-2018","FUTBLN","GOLD","05-02-2019","   31550.00","   31705.00","   31550.00","   31666.00","   31763.00","              137","              20","             6.33"
"26-Dec-2018","FUTBLN","GOLD","05-02-2019","   31569.00","   31624.00","   31502.00","   31614.00","   31669.00","              135","              43","            13.57"
"24-Dec-2018","FUTBLN","GOLD","05-02-2019","   31406.00","   31431.00","   31295.00","   31317.00","   31446.00","              135","              28","             8.77"
"21-Dec-2018","FUTBLN","GOLD","05-02-2019","   31162.00","   31387.00","   31158.00","   31290.00","   31446.00","              135","              68","            21.26"
"20-Dec-2018","FUTBLN","GOLD","05-02-2019","   31129.00","   31165.00","   31014.00","   31075.00","   31318.00","              137","              57","            17.73"
"19-Dec-2018","FUTBLN","GOLD","05-02-2019","   31078.00","   31332.00","   31072.00","   31329.00","   31324.00","              140","             100","            31.15"
"18-Dec-2018","FUTBLN","GOLD","05-02-2019","   31546.00","   31560.00","   31173.00","   31173.00","   31173.00","              140","             124","            38.94"
"17-Dec-2018","FUTBLN","GOLD","05-02-2019","   31459.00","   31461.00","   31420.00","   31441.00","   31600.00","              161","              41","            12.89"
"14-Dec-2018","FUTBLN","GOLD","05-02-2019","   31571.00","   31628.00","   31513.00","   31589.00","   31707.00","              161","              79","            24.93"
"13-Dec-2018","FUTBLN","GOLD","05-02-2019","   31644.00","   31696.00","   31538.00","   31548.00","   31745.00","              173","              89","            28.14"
"12-Dec-2018","FUTBLN","GOLD","05-02-2019","   31806.00","   31833.00","   31779.00","   31813.00","   31908.00","              171","              40","            12.72"
"11-Dec-2018","FUTBLN","GOLD","05-02-2019","   31852.00","   31980.00","   31784.00","   31891.00","   31973.00","              166","              56","            17.84"
"10-Dec-2018","FUTBLN","GOLD","05-02-2019","   31591.00","   32089.00","   31535.00","   32026.00","   31775.00","              164","              99","            31.43"
"07-Dec-2018","FUTBLN","GOLD","05-02-2019","   31069.00","   31470.00","   31058.00","   31470.00","   31371.00","              153","              44","            13.71"
"06-Dec-2018","FUTBLN","GOLD","05-02-2019","   31244.00","   31268.00","   31080.00","   31220.00","   31392.00","              151","              64","            19.95"
"05-Dec-2018","FUTBLN","GOLD","05-02-2019","   30967.00","   30998.00","   30914.00","   30998.00","   31260.00","              152","              46","            14.24"
"04-Dec-2018","FUTBLN","GOLD","05-02-2019","   30934.00","   31120.00","   30933.00","   31085.00","   31085.00","              153","              93","            28.83"
"03-Dec-2018","FUTBLN","GOLD","05-12-2018","   30615.00","   30701.00","   30615.00","   30701.00","   30666.00","                1","               9","             2.76"
"03-Dec-2018","FUTBLN","GOLD","05-02-2019","   30485.00","   30862.00","   30473.00","   30862.00","   31059.00","              155","              35","            10.75"
"30-Nov-2018","FUTBLN","GOLD","05-12-2018","   30185.00","   30195.00","   30149.00","   30149.00","   30289.00","                9","              22","             6.64"
"30-Nov-2018","FUTBLN","GOLD","05-02-2019","   30375.00","   30405.00","   30266.00","   30303.00","   30679.00","              151","              80","            24.27"
"29-Nov-2018","FUTBLN","GOLD","05-12-2018","   30305.00","   30306.00","   30272.00","   30276.00","   30403.00","               21","              15","             4.54"
"29-Nov-2018","FUTBLN","GOLD","05-02-2019","   30515.00","   30515.00","   30415.00","   30479.00","   30795.00","              116","              80","            24.39"
"28-Nov-2018","FUTBLN","GOLD","05-12-2018","   30336.00","   30342.00","   30295.00","   30296.00","   30437.00","               24","              19","             5.76"
"28-Nov-2018","FUTBLN","GOLD","05-02-2019","   30526.00","   30725.00","   30472.00","   30725.00","   30831.00","               94","              44","            13.43"
"27-Nov-2018","FUTBLN","GOLD","05-12-2018","   30568.00","   30665.00","   30378.00","   30378.00","   30691.00","               28","              61","            18.62"
"27-Nov-2018","FUTBLN","GOLD","05-02-2019","   30781.00","   30811.00","   30585.00","   30594.00","   31090.00","               77","              65","            19.98"
"26-Nov-2018","FUTBLN","GOLD","05-12-2018","   30528.00","   30628.00","   30528.00","   30585.00","   30713.00","               76","              15","             4.59"
"26-Nov-2018","FUTBLN","GOLD","05-02-2019","   30775.00","   30870.00","   30765.00","   30791.00","   31113.00","               19","              19","             5.86"
"23-Nov-2018","FUTBLN","GOLD","05-12-2018","   30480.00","   30480.00","   30479.00","   30479.00","   30937.00","               79","               2","             0.61"
"22-Nov-2018","FUTBLN","GOLD","05-12-2018","   30826.00","   30875.00","   30655.00","   30665.00","   30943.00","               79","             121","            37.22"
"22-Nov-2018","FUTBLN","GOLD","05-02-2019","   31099.00","   31116.00","   30900.00","   30900.00","   31348.00","               16","              23","             7.14"
"21-Nov-2018","FUTBLN","GOLD","05-12-2018","   30757.00","   30880.00","   30741.00","   30849.00","   30950.00","               82","             159","            48.96"
"21-Nov-2018","FUTBLN","GOLD","05-02-2019","   31016.00","   31119.00","   31016.00","   31091.00","   31354.00","               12","               8","             2.48"
"20-Nov-2018","FUTBLN","GOLD","05-12-2018","   30805.00","   30972.00","   30802.00","   30865.00","   30996.00","               71","              79","            24.39"
"20-Nov-2018","FUTBLN","GOLD","05-02-2019","   31073.00","   31149.00","   31070.00","   31111.00","   31402.00","               14","              11","             3.42"
"19-Nov-2018","FUTBLN","GOLD","05-12-2018","   31016.00","   31016.00","   30835.00","   30862.00","   30986.00","               74","              80","            24.72"
"19-Nov-2018","FUTBLN","GOLD","05-02-2019","   31190.00","   31190.00","   31091.00","   31091.00","   31393.00","               16","               4","             1.25"
"16-Nov-2018","FUTBLN","GOLD","05-12-2018","   30869.00","   31130.00","   30826.00","   30987.00","   31033.00","               70","             112","            34.64"
"16-Nov-2018","FUTBLN","GOLD","05-02-2019","   31145.00","   31300.00","   31145.00","   31249.00","   31443.00","               14","               8","             2.50"
"15-Nov-2018","FUTBLN","GOLD","05-12-2018","   30853.00","   30922.00","   30755.00","   30861.00","   31063.00","               66","             160","            49.33"
"15-Nov-2018","FUTBLN","GOLD","05-02-2019","   31109.00","   31130.00","   31020.00","   31095.00","   31474.00","                6","              11","             3.42"
"14-Nov-2018","FUTBLN","GOLD","05-12-2018","   30686.00","   30700.00","   30621.00","   30647.00","   30886.00","               34","              84","            25.75"
"13-Nov-2018","FUTBLN","GOLD","05-12-2018","   30908.00","   30908.00","   30754.00","   30764.00","   31087.00","               13","             134","            41.30"
"12-Nov-2018","FUTBLN","GOLD","05-12-2018","   31147.00","   31166.00","   31000.00","   31051.00","   31355.00","               29","              63","            19.60"
"09-Nov-2018","FUTBLN","GOLD","05-12-2018","   31359.00","   31367.00","   30978.00","   30978.00","   31931.00","               38","             167","            52.20"
"08-Nov-2018","FUTBLN","GOLD","05-12-2018","   31333.00","   31345.00","   31241.00","   31322.00","   31936.00","               32","              56","            17.53"
"07-Nov-2018","FUTBLN","GOLD","05-12-2018","   31615.00","   31625.00","   31555.00","   31585.00","   31585.00","               32","              50","            15.79"
"06-Nov-2018","FUTBLN","GOLD","05-12-2018","   31725.00","   31872.00","   31690.00","   31690.00","   31949.00","               34","             157","            49.90"
"05-Nov-2018","FUTBLN","GOLD","05-12-2018","   31723.00","   31825.00","   31711.00","   31717.00","   31941.00","               32","             143","            45.45"
"02-Nov-2018","FUTBLN","GOLD","05-12-2018","   31812.00","   31812.00","   31616.00","   31685.00","   31788.00","               40","             133","            42.13"
"01-Nov-2018","FUTBLN","GOLD","05-12-2018","   31777.00","   31890.00","   31757.00","   31890.00","   31908.00","               49","             126","            40.10"
"31-Oct-2018","FUTBLN","GOLD","05-12-2018","   31863.00","   31870.00","   31730.00","   31789.00","   31790.00","               65","             128","            40.72"
"30-Oct-2018","FUTBLN","GOLD","05-12-2018","   31919.00","   31934.00","   31792.00","   31813.00","   31927.00","               61","             182","            57.95"
"29-Oct-2018","FUTBLN","GOLD","05-12-2018","   31968.00","   32019.00","   31860.00","   31864.00","   32003.00","               50","             127","            40.57"
"26-Oct-2018","FUTBLN","GOLD","05-12-2018","   31981.00","   32129.00","   31941.00","   32050.00","   32131.00","               54","             207","            66.30"
"25-Oct-2018","FUTBLN","GOLD","05-12-2018","   32068.00","   32098.00","   31864.00","   31891.00","   31995.00","               49","             122","            38.98"
"24-Oct-2018","FUTBLN","GOLD","05-12-2018","   31981.00","   32007.00","   31797.00","   31950.00","   31948.00","               30","              87","            27.76"
"23-Oct-2018","FUTBLN","GOLD","05-12-2018","   31989.00","   32251.00","   31980.00","   32250.00","   32182.00","               27","              91","            29.26"
"22-Oct-2018","FUTBLN","GOLD","05-12-2018","   31890.00","   31959.00","   31758.00","   31900.00","   31879.00","               27","              49","            15.61"
"19-Oct-2018","FUTBLN","GOLD","05-12-2018","   31968.00","   32009.00","   31870.00","   31922.00","   32026.00","               30","             229","            73.12"
"18-Oct-2018","FUTBLN","GOLD","05-12-2018","   31917.00","   32077.00","   31866.00","   32039.00","   32037.00","               31","              55","            17.60"
"17-Oct-2018","FUTBLN","GOLD","05-12-2018","   31805.00","   32000.00","   31502.00","   31929.00","   32043.00","               27","             117","            37.34"
"16-Oct-2018","FUTBLN","GOLD","05-12-2018","   32105.00","   32143.00","   31935.00","   31995.00","   32109.00","               31","             191","            61.17"
"15-Oct-2018","FUTBLN","GOLD","05-12-2018","   32000.00","   32300.00","   31993.00","   32152.00","   32264.00","               24","             145","            46.64"
"12-Oct-2018","FUTBLN","GOLD","05-12-2018","   31920.00","   31938.00","   31715.00","   31782.00","   31876.00","               12","             145","            46.17"
